"TMINN","TMAXX","RAINFALL","VPD","SRAD","SoilMoist","WIND"
15.49,27.49,30.3,1.03,318.1,0.0122,6.12
16.49,28.12,5.3,1.02,293.5,0.0104,5.81
15.15,26.04,30.1,0.81,225.1,0.009,5.57
11.82,23.3,14.4,0.65,174.1,0.008,4.39
9.62,19.63,50.3,0.4,126.9,0.0072,3.38
8.76000000000001,19.32,72.6,0.43,114.5,0.0263,3.88
7.58,17.57,87.7,0.35,115.8,0.0595,4.12
9.61,18.94,64.9,0.41,151,0.0574,4.2
8.91,18.5,77.2,0.41,193.8,0.0535,4.33
11.66,22.88,11.3,0.76,257.9,0.0263,5.4
13.59,24.8,11.5,0.85,292.6,0.0185,4.85
14.79,26.08,7.1,0.93,332.7,0.0145,5.48
15.31,27.24,10.7,1.03,321.4,0.012,5.64
15.88,28.51,7.1,1.12,289.7,0.0102,6.09
14.05,26.74,7.8,0.97,243.5,0.0089,4.18
12.26,22.57,49.6,0.54,160.4,0.0079,4.16
10.32,20.44,95.6,0.42,125.9,0.0386,4.18
8.51000000000001,18.48,64.8,0.39,107.4,0.0528,3.8
7.62,16.92,243.7,0.3,106.3,0.0753,4.93
8.69,16.66,124.6,0.27,127.2,0.0753,5.53
8.62,17.54,62.4,0.36,183.4,0.066,4.55
13,22.58,41.7,0.64,228.9,0.0275,5.09
13.85,24.99,25.6,0.8,294.6,0.0191,5.39
15.04,26.37,5.7,0.92,326.1,0.0148,4.98
15.21,26.26,74.9,0.92,312.2,0.0122,5.4
16.13,28.56,21.1,1.12,294.2,0.0103,5.7
14.59,27.55,11.7,0.99,246.3,0.009,4.1
12.66,24.17,31.8,0.72,175.3,0.008,3.83
9.68000000000001,19.39,92.9,0.38,119.8,0.0396,3.77
7.51000000000001,16.83,86,0.3,102,0.0753,4.18
7.03,15.92,121.4,0.28,110.9,0.0753,4.3
7.57000000000001,18.1,93.2,0.43,149.5,0.0753,4.95
10.41,20.62,40,0.5,199.6,0.0441,4.2
11.26,22.38,46.4,0.71,263.2,0.0246,5.22
11.55,24.1,31.7,0.84,309.3,0.0177,5.43
15.74,27.12,15.5,0.99,322.9,0.014,5.44
16.36,27.75,3.3,1.04,322.6,0.0116,5.88
16.89,28.72,11.4,1.1,296,0.01,5.11
15.09,26.39,61.8,0.85,233.8,0.0087,4.59
13.92,24.57,15.6,0.7,169.6,0.0078,3.55
10.58,20.38,54.1,0.44,127.6,0.0071,3
6.82000000000001,19.13,28.7,0.49,119.3,0.0064,3.18
6.77,18.21,39.6,0.43,123.2,0.0059,3.91
6.51000000000001,16.25,133.8,0.34,130.9,0.0735,4.84
9.51000000000001,19.03,77.6,0.42,190.9,0.07,4.53
11.96,23.23,33.8,0.75,247.7,0.0276,4.95
13.55,25.34,7.9,0.91,306.9,0.0191,5.06
13.94,26.08,19.1,0.98,324.7,0.0148,6.01
13.92,25.34,9.1,0.89,316.9,0.0122,6.16
17.34,28.56,1.6,1.06,297.2,0.0104,5.61
13.6,25.9,12,0.88,246.6,0.009,4.69
13.11,23.72,73.9,0.62,165.8,0.008,4.1
11.87,22.02,12.2,0.53,129.4,0.0072,3.44
8.86,19.28,109.3,0.42,108.6,0.0619,3.47
6.17,17.76,72,0.42,119,0.0753,3.05
8.91,18.2,201.8,0.39,139.9,0.0753,4.52
9.12,20.48,35.4,0.53,210.6,0.0391,3.84
12.26,22.48,144.7,0.66,244.4,0.0518,4.83
15.4,26.24,4.3,0.92,304.5,0.026,4.69
16.3,27.52,8.2,1.02,327.1,0.0184,5.14
17.01,28.19,34.2,1.03,321,0.0144,6.27
17.38,28.81,3.6,1.07,296.7,0.0119,6
15.14,27.09,13.2,0.91,237.1,0.0102,4.69
12.66,23.38,104.6,0.62,165.9,0.0195,4.31
11.32,19.59,88.5,0.35,118.2,0.048,4.33
7.51000000000001,17.68,101.9,0.38,102.8,0.0753,4.06
8.12,19.76,67.2,0.49,117.9,0.0753,3.5
7.66,16.65,109,0.33,132.5,0.0753,5
9.87,20.59,38.4,0.53,205,0.0417,3.96
10.66,23.09,19.7,0.77,253.6,0.024,4.73
13.45,25.39,27.1,0.9,295.3,0.0174,5.44
14.34,26.32,1,0.96,332.2,0.0138,5.65
17.12,28.64,2.4,1.08,314.7,0.0115,6.06
17.24,28.92,21,1.09,290.5,0.0099,5.44
13.99,26.25,6.9,0.87,246.7,0.0087,4.75
12.9,23.42,37.4,0.61,172.3,0.0077,4.37
9.57000000000001,18.88,154.7,0.35,117.5,0.0753,3.58
8.41,19.87,44.1,0.47,118.6,0.0688,3.8
8.72,17.37,87.6,0.33,104.2,0.0753,3.77
8.11,17.24,78.7,0.34,136.8,0.0753,5.12
10.62,21.17,26,0.54,200.8,0.0352,3.65
12.2,23.32,54.6,0.75,250.6,0.022,4.75
14,25.64,49.4,0.9,302.5,0.0164,5.72
15.04,26.13,9.5,0.92,321,0.0132,5.19
17.41,29.29,0.6,1.12,325.7,0.0111,5.31
16.64,28.02,32.9,1.03,289.9,0.0096,5.04
14.55,27.39,26.6,0.99,248.6,0.0084,4.68
13.36,24.81,71.1,0.73,170.8,0.0075,4.27
10.62,21.08,113.1,0.51,128.5,0.0513,3.32
8.51000000000001,18.23,142.9,0.37,106.5,0.0753,4.66
7.22,17.52,168.5,0.38,111.1,0.0753,4.08
8.31,17.8,120,0.37,139.1,0.0753,4.58
9.62,20.48,22.2,0.54,197.6,0.0332,3.64
12.3,23.47,40.5,0.73,253.9,0.0213,5.39
12.81,23.29,55.3,0.73,277.1,0.0161,6.21
15.59,26.96,22.4,0.98,323.9,0.013,5.38
17.31,27.88,9.8,1,321.9,0.0109,6.51
17.44,28.12,26.1,1,284.4,0.0095,5.73
15.2,27.45,7.9,0.95,248.5,0.0083,4.94
12.36,24.27,16.5,0.71,177.7,0.0075,3.77
12.41,20.49,65.8,0.44,116.4,0.0074,4.65
9.57000000000001,17.98,78.9,0.3,102.1,0.0378,5.04
7.87,17.02,207.4,0.33,111.8,0.0753,4.59
8.17,18.5,107.2,0.43,144.6,0.0753,4.93
7.82000000000001,17.99,47.7,0.4,189.2,0.0533,4.91
11.61,22.77,18.7,0.72,257.5,0.0263,4.75
14.21,24.59,71.3,0.8,292.6,0.0185,5.57
15.98,27.27,0.3,1.06,328.9,0.0145,5.64
16.22,27.45,1.4,0.98,327,0.0119,5.7
17.28,28.91,8.9,1.07,296.3,0.0102,5.91
15.5,27.8,1.9,0.96,239.7,0.0089,4.54
14.3,25.01,29,0.7,163.1,0.0079,4.21
11.03,20.03,73.7,0.39,121.6,0.0193,3.94
9.61,18.33,130.6,0.32,98.1,0.0753,4.55
7.93000000000001,18.56,98.4,0.41,114.3,0.0753,3.43
8.66,18.9,68.1,0.43,142.2,0.0735,4.49
9.52,19.38,76,0.44,183,0.0669,4.88
12.8,23.48,44.5,0.72,249,0.0275,5.62
13.9,24.94,18.7,0.83,277.1,0.0191,6.44
14.8,26.08,4.4,0.93,336.5,0.0148,5.28
17.06,27.99,4.6,0.99,325.3,0.0122,5.8
17.23,28.82,16.5,1.07,291,0.0104,5.42
16.34,28.04,10.9,0.97,242.3,0.009,4.77
12.81,24.07,13.4,0.69,171,0.008,4.13
11.52,20.23,108.2,0.41,117.4,0.0503,4.5
7.91,18.78,92,0.42,108,0.0753,4.06
7.43000000000001,18.96,58.3,0.49,120.6,0.0744,3.55
8.31,19.7,42.7,0.51,152.1,0.0517,4.85
10.17,20.78,30.8,0.54,198.5,0.026,3.97
11.55,22.07,48.9,0.66,241.5,0.0184,5.16
13.51,24.74,37.4,0.85,281.3,0.0144,5.86
16.1,27.12,18.7,0.97,310.2,0.0119,6.74
16.76,28.68,9.2,1.09,329.5,0.0102,6.58
18.23,29.16,4.3,1.05,276,0.0089,6.06
15.9,28,10.6,0.99,239.8,0.0079,4.31
12.26,23.57,31.5,0.65,175.7,0.0071,5.02
11.57,21.82,70.7,0.54,113,0.01,3.65
8.31,17.42,123.9,0.31,101,0.0753,4.66
6.98,17.86,43.7,0.39,120.4,0.0705,3.34
7.26000000000001,18.74,76.8,0.49,151.4,0.0698,4.68
9.32000000000001,19.98,29.6,0.51,196.8,0.0345,3.86
11.56,22.43,20.3,0.69,243.4,0.0218,4.89
12.35,23.44,39.6,0.76,295,0.0163,5.62
14.56,25.61,18.4,0.97,326.1,0.0131,5.59
17.92,29.35,5.1,1.12,324.7,0.011,5.67
16.78,28.01,8.7,1.01,297.1,0.0095,5.4
16.05,27.2,33,0.89,235.2,0.0084,4.67
12.51,23.72,58.2,0.64,170.6,0.0075,4.88
9.98,19.93,44.1,0.45,124.7,0.0068,3.17
8.32000000000001,17.82,100.3,0.34,101.1,0.0573,4.09
6.44,16.33,113.6,0.28,109.2,0.0753,3.98
7.46000000000001,16.45,115.1,0.33,144.3,0.0753,5.06
8.73,19.09,69.4,0.45,191.7,0.0662,3.69
12,21.62,52.6,0.6,239,0.0275,5.68
13.61,25.19,11.2,0.89,310.5,0.0191,5.38
16.88,27.82,6.9,1,329.7,0.0148,5.71
17.21,27.99,17.1,1,332.1,0.0122,6.29
17.28,28.07,44.8,1,289,0.0103,5.42
15.74,28.24,18.7,1,235.1,0.009,5.3
11.36,23.72,38.9,0.72,174.3,0.008,4.22
11.07,21.28,63.1,0.5,131.9,0.0078,3.26
7.13,17.17,134.3,0.28,107.8,0.0753,4.66
8.48,18.06,53.8,0.37,112.9,0.0753,4.06
7.91,17,207,0.33,132.8,0.0753,5.3
8.42,17.65,83.2,0.36,190,0.0753,4.47
12.55,22.08,30.4,0.63,250.6,0.0277,4.75
14.35,25.08,14.9,0.84,291.8,0.0192,5.86
16.29,27.52,7.4,0.99,334.9,0.0149,5.88
18.01,28.34,35.3,1.02,305,0.0122,5.27
18.28,29.16,3.7,1.06,295.1,0.0104,5.71
14.85,25.5,55.8,0.79,229.8,0.009,4.62
13.11,25.21,29.2,0.75,177.2,0.008,3.9
11.62,20.78,61.1,0.44,121.9,0.0076,4.22
7.91,18.03,123.9,0.36,105.6,0.0753,4.33
7.43000000000001,17.27,116.1,0.35,109.5,0.0753,3.73
9.61,18.79,115.1,0.39,145.3,0.0753,4.81
10.17,20.98,37.3,0.54,200.2,0.0409,3.83
12.55,25.12,7.1,0.87,267.6,0.0238,5.3
13.8,24.68,33.2,0.8,294.1,0.0173,5.84
15.78,26.87,2.7,0.95,327.2,0.0138,5.72
17.21,28.79,17.7,1.09,325.3,0.0115,5.83
15.64,27.52,3.8,1.02,301,0.0098,5.46
15.74,28.04,3.2,1.01,243.2,0.0086,4.83
12.29,23.36,4.7,0.58,182.8,0.0077,4.12
11.63,21.48,32.1,0.49,118.3,0.007,3.6
8.01000000000001,17.38,136.6,0.33,102.9,0.0753,3.96
7.58,16.26,104,0.3,106.1,0.0753,3.98
7.46000000000001,16.84,37.5,0.41,134.8,0.0576,4.39
10.46,20.92,33.4,0.53,181.6,0.0284,4.38
13.46,24.28,8.4,0.78,250.1,0.0195,4.68
13.25,24.94,35.7,0.87,297.2,0.015,5.53
16.55,28.23,15,1.09,332.3,0.0123,4.72
18,28.7,35.5,1.28,316.6,0.0104,6.47
17.1,28.9,3.9,1.23,299.6,0.0091,5.34
14.7,26.6,32,0.92,232.7,0.0081,4.93
13.2,24.5,38.7,0.75,172.5,0.0072,4.16
